channel_acq,test_coupon,num_past_purch,spent_last_purchase,weeks_since_visit,browsing_minutes,shopping_cart,trans_after,revenue_after, prediction_using_neural_network
2.0,1.0,0.0,0.0,7.0,24.0,0.0,0.0,0.0,0.018356164917349815
3.0,1.0,4.0,120.98,5.0,29.0,1.0,0.0,0.0,0.3045896589756012
1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.06738599389791489
3.0,1.0,2.0,58.49,0.0,23.0,0.0,0.0,0.0,0.12690050899982452
1.0,1.0,2.0,265.96,6.0,18.0,0.0,0.0,0.0,0.0048881275579333305
3.0,1.0,1.0,129.98,2.0,22.0,0.0,0.0,0.0,0.040139343589544296
1.0,1.0,1.0,170.97,5.0,20.0,1.0,0.0,0.0,0.026436742395162582
2.0,0.0,4.0,55.99,4.0,17.0,1.0,0.0,0.0,0.301680326461792
2.0,0.0,3.0,62.49,0.0,1.0,1.0,0.0,0.0,0.1953304409980774
4.0,0.0,0.0,0.0,5.0,2.0,1.0,0.0,0.0,0.0772152990102768
1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.014163429848849773
1.0,0.0,4.0,67.99,7.0,20.0,0.0,0.0,0.0,0.01999509707093239
5.0,1.0,8.0,125.98,7.0,18.0,1.0,0.0,0.0,0.8375813364982605
1.0,0.0,1.0,66.99,4.0,7.0,0.0,0.0,0.0,0.00998472049832344
1.0,1.0,2.0,105.98,4.0,5.0,0.0,0.0,0.0,0.01239034067839384
1.0,1.0,1.0,68.49,2.0,19.0,0.0,0.0,0.0,0.015631068497896194
2.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.07193493843078613
1.0,0.0,0.0,0.0,2.0,18.0,0.0,0.0,0.0,0.028380656614899635
4.0,1.0,7.0,49.99,2.0,16.0,0.0,0.0,0.0,0.554799497127533
1.0,0.0,0.0,0.0,2.0,21.0,0.0,0.0,0.0,0.03135717660188675
1.0,0.0,3.0,151.98,5.0,12.0,1.0,0.0,0.0,0.07848720997571945
1.0,1.0,2.0,55.99,7.0,15.0,0.0,0.0,0.0,0.0066146026365458965
4.0,0.0,0.0,0.0,6.0,8.0,1.0,0.0,0.0,0.12856023013591766
1.0,0.0,1.0,127.98,5.0,11.0,0.0,0.0,0.0,0.006534384563565254
3.0,1.0,2.0,56.49,2.0,20.0,0.0,0.0,0.0,0.07674971967935562
2.0,1.0,3.0,68.99,2.0,5.0,0.0,0.0,0.0,0.06468147784471512
1.0,1.0,0.0,0.0,2.0,19.0,0.0,0.0,0.0,0.035445380955934525
2.0,0.0,2.0,197.97,7.0,17.0,0.0,0.0,0.0,0.009111277759075165
1.0,1.0,0.0,0.0,7.0,19.0,0.0,0.0,0.0,0.00789240188896656
2.0,0.0,4.0,73.99,0.0,12.0,0.0,0.0,0.0,0.1882263571023941
3.0,0.0,3.0,51.99,2.0,14.0,0.0,1.0,51.99,0.13418449461460114
1.0,1.0,3.0,71.99,1.0,8.0,0.0,0.0,0.0,0.049548711627721786
2.0,1.0,1.0,97.98,4.0,9.0,0.0,0.0,0.0,0.013906065374612808
1.0,0.0,0.0,0.0,1.0,21.0,0.0,0.0,0.0,0.0421118400990963
1.0,0.0,2.0,51.99,6.0,22.0,1.0,0.0,0.0,0.15154746174812317
2.0,1.0,0.0,0.0,1.0,24.0,1.0,0.0,0.0,0.26765701174736023
1.0,0.0,4.0,59.99,0.0,1.0,1.0,0.0,0.0,0.2040952444076538
3.0,0.0,3.0,88.98,7.0,9.0,0.0,0.0,0.0,0.03332355618476868
2.0,0.0,0.0,0.0,7.0,14.0,0.0,0.0,0.0,0.0108009809628129
3.0,0.0,7.0,50.99,2.0,13.0,0.0,0.0,0.0,0.5224840044975281
3.0,0.0,6.0,62.99,1.0,25.0,0.0,1.0,62.99,0.43805646896362305
1.0,1.0,9.0,77.98,7.0,15.0,0.0,0.0,0.0,0.1611052304506302
3.0,1.0,1.0,55.99,5.0,12.0,0.0,0.0,0.0,0.021063484251499176
1.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.023963769897818565
1.0,0.0,0.0,0.0,4.0,21.0,1.0,0.0,0.0,0.051850710064172745
1.0,1.0,0.0,0.0,6.0,11.0,0.0,0.0,0.0,0.008146209642291069
2.0,1.0,1.0,54.49,1.0,9.0,0.0,0.0,0.0,0.03508889302611351
