id,trans_after,revenue_after,channel_acq,test_coupon,num_past_purch,spent_last_purchase,weeks_since_visit,browsing_minutes,shopping_cart
AB_1,0,0,2,0,6,62.99,6,1,0
AB_2,0,0,1,1,2,53.99,0,7,1
AB_3,0,0,2,1,3,88.98,3,4,0
AB_4,0,0,2,0,1,68.99,1,19,0
AB_5,0,0,3,1,3,66.49,4,20,0
AB_6,1,46.99,3,0,1,46.99,1,22,0
AB_7,0,0,3,1,1,34.99,5,20,0
AB_8,0,0,1,0,0,0,7,21,0
AB_9,0,0,1,0,7,61.99,5,14,1
AB_10,0,0,3,1,5,57.49,3,17,0
AB_11,0,0,1,1,0,0,1,13,0
AB_12,0,0,3,0,1,53.99,2,11,0
AB_13,0,0,2,1,2,236.97,6,19,1
AB_14,0,0,3,0,6,69.99,0,20,0
AB_15,0,0,3,0,1,67.99,5,23,1
AB_16,0,0,4,0,0,0,4,16,0
AB_17,0,0,4,1,3,167.97,5,3,0
AB_18,0,0,3,0,0,0,1,17,1
AB_19,0,0,1,0,1,118.98,0,11,0
AB_20,0,0,1,0,2,57.49,3,3,0
AB_21,1,45.192,2,1,0,0,7,17,0
AB_22,0,0,1,0,2,71.49,4,18,0
AB_23,0,0,1,1,2,120.98,7,9,0
AB_24,0,0,1,0,5,67.99,0,12,0
AB_25,0,0,3,0,1,80.99,4,16,1
AB_26,1,59.99,1,0,21,59.99,3,25,0
AB_27,0,0,3,0,0,0,6,28,0
AB_28,0,0,1,1,0,0,2,8,0
AB_29,0,0,2,1,0,0,4,7,1
AB_30,0,0,3,0,0,0,5,19,0
AB_31,0,0,1,0,0,0,4,15,0
AB_32,0,0,3,0,2,81.99,1,13,1
AB_33,0,0,1,1,2,54.49,5,2,1
AB_34,2,141.98,1,0,15,70.99,0,15,1
AB_35,0,0,1,1,0,0,4,21,0
AB_36,0,0,3,0,3,154.47,0,9,0
AB_37,0,0,3,0,2,58.99,2,1,0
AB_38,0,0,3,0,1,80.49,1,19,0
AB_39,0,0,3,1,1,52.49,0,18,0
AB_40,0,0,4,0,0,0,2,17,1
AB_41,0,0,3,0,0,0,2,26,1
AB_42,0,0,3,1,2,126.98,5,22,0
AB_43,2,80.784,1,1,0,0,0,10,1
AB_44,0,0,3,1,1,60.99,5,11,0
AB_45,0,0,1,1,2,61.49,7,15,0
AB_46,0,0,1,0,0,0,0,5,1
AB_47,0,0,1,0,1,43.99,4,20,0
AB_48,0,0,3,0,0,0,3,20,0
AB_49,0,0,2,1,0,0,0,13,0
AB_50,0,0,2,0,2,125.98,7,21,0
AB_51,0,0,3,1,6,52.49,3,14,0
AB_52,0,0,1,0,1,57.49,6,18,1
AB_53,0,0,3,1,0,0,5,14,0
AB_54,0,0,2,0,0,0,0,12,0
AB_55,0,0,2,0,0,0,6,9,0
AB_56,0,0,3,0,4,145.98,2,14,0
AB_57,0,0,2,0,7,77.99,1,8,0
AB_58,1,53.592,4,1,3,66.99,5,8,0
AB_59,0,0,1,1,14,78.99,6,8,1
AB_60,0,0,2,1,0,0,5,24,0
AB_61,1,70.99,2,0,0,0,2,21,0
AB_62,0,0,1,0,1,153.98,5,9,0
AB_63,1,68.99,1,0,5,137.98,1,27,1
AB_64,0,0,2,1,0,0,0,12,0
AB_65,1,59.592,3,1,0,0,1,12,0
AB_66,0,0,3,0,1,54.49,6,17,0
AB_67,0,0,1,0,4,49.99,2,1,1
AB_68,0,0,2,0,1,110.98,2,4,1
AB_69,0,0,3,1,4,70.99,2,32,0
AB_70,0,0,3,1,1,52.99,0,21,0
AB_71,0,0,1,0,1,67.99,4,9,0
AB_72,0,0,1,0,0,0,1,15,1
AB_73,0,0,3,1,4,130.98,0,2,0
AB_74,0,0,2,0,0,0,2,10,1
AB_75,0,0,1,1,0,0,0,6,1
AB_76,1,55.192,3,1,11,68.99,0,20,0
AB_77,0,0,1,1,0,0,4,8,1
AB_78,2,133.98,3,0,0,0,1,8,1
AB_79,0,0,2,0,4,191.97,0,17,1
AB_80,0,0,1,0,2,45.99,3,12,0
AB_81,0,0,2,1,3,102.98,7,10,0
AB_82,0,0,3,0,1,65.99,4,8,0
AB_83,0,0,2,0,0,0,5,4,0
AB_84,0,0,3,0,1,61.99,4,20,0
AB_85,0,0,1,0,1,54.49,3,26,0
AB_86,0,0,2,0,2,61.99,0,14,0
AB_87,0,0,1,1,1,69.99,5,12,0
AB_88,0,0,1,0,7,64.49,5,13,1
AB_89,0,0,1,0,2,54.99,1,24,0
AB_90,0,0,2,1,0,0,6,9,1
AB_91,0,0,1,1,1,64.99,4,18,0
AB_92,0,0,3,1,0,0,0,27,0
AB_93,0,0,2,0,0,0,1,17,0
AB_94,0,0,3,0,1,59.99,5,21,0
AB_95,0,0,2,1,0,0,0,19,0
AB_96,0,0,1,0,2,70.99,1,21,0
AB_97,0,0,2,0,5,239.97,1,13,0
AB_98,0,0,2,1,1,64.99,1,7,1
AB_99,0,0,1,1,2,36.99,2,12,0
AB_100,0,0,4,0,5,155.97,4,1,0
AB_101,0,0,1,0,0,0,4,13,1
AB_102,0,0,2,0,1,51.49,2,10,0
AB_103,0,0,2,0,0,0,4,17,0
AB_104,0,0,1,1,4,55.99,3,1,0
AB_105,0,0,2,1,1,69.49,5,13,0
AB_106,0,0,1,1,2,35.99,2,20,0
AB_107,0,0,1,1,1,68.99,2,22,0
AB_108,0,0,2,0,1,91.49,3,13,0
AB_109,0,0,3,0,1,69.99,4,24,0
AB_110,0,0,3,1,0,0,5,5,0
AB_111,0,0,3,1,0,0,1,10,1
AB_112,0,0,2,0,0,0,5,15,0
AB_113,1,47.592,1,1,3,59.49,4,10,1
AB_114,0,0,3,0,2,60.99,0,24,0
AB_115,0,0,2,1,0,0,5,3,1
AB_116,0,0,2,1,0,0,5,17,1
AB_117,0,0,3,0,3,53.99,0,19,0
AB_118,0,0,3,1,4,68.99,7,9,1
AB_119,0,0,2,0,1,59.99,1,22,0
AB_120,0,0,2,1,3,56.99,5,8,0
AB_121,0,0,1,1,3,65.99,4,17,0
AB_122,1,63.192,1,1,9,157.98,2,14,1
AB_123,0,0,1,1,1,56.99,1,17,1
AB_124,0,0,4,0,1,58.99,0,25,1
AB_125,0,0,3,0,0,0,4,18,0
AB_126,0,0,1,0,3,59.99,4,18,1
AB_127,0,0,5,0,1,80.99,0,18,0
AB_128,0,0,2,0,1,76.99,4,11,0
AB_129,0,0,3,0,1,62.99,5,4,0
AB_130,0,0,2,1,0,0,0,20,0
AB_131,0,0,1,1,0,0,0,5,0
AB_132,0,0,2,1,0,0,4,4,1
AB_133,0,0,1,0,0,0,0,10,0
AB_134,0,0,3,1,0,0,0,19,0
AB_135,0,0,1,1,4,72.99,5,22,0
AB_136,0,0,1,1,4,76.99,4,18,0
AB_137,0,0,1,1,0,0,3,1,0
AB_138,0,0,1,0,6,54.49,6,16,0
AB_139,0,0,2,1,0,0,4,8,0
AB_140,0,0,2,1,2,230.97,2,3,1
AB_141,0,0,3,1,3,45.99,3,21,0
AB_142,0,0,2,1,0,0,0,12,1
AB_143,1,74.99,3,0,0,0,2,20,0
AB_144,0,0,2,1,0,0,6,11,0
AB_145,0,0,1,1,4,207.96,1,20,0
AB_146,0,0,3,1,8,68.99,3,26,1
AB_147,0,0,2,0,5,161.97,2,15,0
AB_148,0,0,1,0,2,75.99,3,5,1
AB_149,0,0,2,0,2,62.99,1,1,1
AB_150,0,0,2,1,1,170.97,5,12,1
AB_151,0,0,3,0,0,0,0,16,0
AB_152,0,0,3,0,0,0,5,20,0
AB_153,1,45.99,1,0,6,45.99,4,17,1
AB_154,1,72.49,3,0,2,72.49,0,15,1
AB_155,0,0,3,1,0,0,0,20,1
AB_156,0,0,2,0,0,0,1,13,0
AB_157,0,0,1,1,0,0,1,9,0
AB_158,0,0,2,1,2,295.96,3,7,0
AB_159,0,0,1,0,1,126.98,1,18,0
