id,channel_acq,num_past_purch,spent_last_purchase,weeks_since_visit,browsing_minutes,shopping_cart,minority,non_male,state
Next_1,1,0,0,0,16,1,1,0,7
Next_2,3,0,0,2,19,0,0,1,4
Next_3,4,5,63.99,1,14,0,1,0,10
Next_4,1,0,0,7,15,0,1,0,3
Next_5,2,2,52.49,2,19,0,0,1,3
Next_6,3,1,54.49,6,11,0,0,1,6
Next_7,3,1,59.99,6,4,0,0,1,3
Next_8,3,5,77.99,7,15,1,0,1,5
Next_9,1,1,74.49,1,25,0,1,1,3
Next_10,3,2,78.49,2,26,0,0,0,7
Next_11,3,0,0,2,5,1,0,0,8
Next_12,1,3,61.49,5,18,1,0,1,5
Next_13,2,3,38.99,4,18,0,0,1,4
Next_14,2,10,63.99,0,21,1,0,1,1
Next_15,3,1,202.47,4,13,0,0,0,3
Next_16,1,0,0,7,15,1,0,1,2
Next_17,5,2,103.98,6,12,0,0,0,2
Next_18,2,1,68.49,3,11,1,0,1,4
Next_19,1,1,60.49,3,17,0,0,1,6
Next_20,3,0,0,4,15,0,0,0,2
Next_21,2,0,0,4,9,1,0,0,3
Next_22,3,7,41.99,5,16,0,0,1,2
Next_23,3,2,101.98,0,17,0,0,1,5
Next_24,3,0,0,0,6,0,0,1,6
Next_25,1,0,0,0,13,0,0,1,6
Next_26,3,0,0,1,11,0,0,1,3
Next_27,1,0,0,3,21,1,1,1,7
Next_28,1,3,157.47,6,17,1,1,1,3
Next_29,1,0,0,5,14,0,1,1,3
Next_30,3,0,0,4,16,0,0,0,4
Next_31,1,5,63.99,5,4,0,0,0,9
Next_32,1,2,178.47,0,16,0,0,1,4
Next_33,2,0,0,6,18,0,0,1,8
Next_34,1,0,0,1,22,1,0,1,4
Next_35,3,13,57.99,3,23,0,0,1,4
Next_36,4,0,0,2,13,1,0,1,5
Next_37,1,0,0,3,18,1,0,1,3
Next_38,1,6,54.99,1,13,1,0,0,4
Next_39,3,0,0,5,4,0,0,0,5
Next_40,1,3,189.96,2,12,0,1,0,3
Next_41,3,0,0,7,15,0,0,1,3
Next_42,1,2,75.99,3,4,0,0,0,9
Next_43,4,1,56.49,5,20,0,0,1,2
Next_44,1,1,46.99,1,20,0,0,1,2
Next_45,2,0,0,0,18,0,0,1,8
Next_46,3,0,0,6,5,1,0,0,1
Next_47,2,2,134.98,7,13,0,0,0,1
Next_48,1,3,73.49,2,21,0,1,1,7
Next_49,1,1,99.98,1,2,0,1,0,7
Next_50,3,0,0,4,14,0,0,0,1
Next_51,1,8,55.99,7,17,1,1,0,3
Next_52,3,7,58.99,4,19,0,0,1,4
Next_53,1,0,0,1,22,0,1,1,7
Next_54,3,12,170.97,2,14,1,0,1,10
Next_55,1,0,0,7,9,1,0,0,8
Next_56,1,1,56.99,0,3,0,1,0,3
Next_57,3,7,69.99,0,15,0,0,1,2
Next_58,1,0,0,5,14,1,0,0,6
Next_59,2,0,0,0,21,1,0,1,4
Next_60,2,0,0,0,3,0,0,0,1
Next_61,3,0,0,2,15,0,0,1,5
Next_62,1,2,68.99,6,18,0,1,1,10
